Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C203 C204 C403 C404,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,
2,"Unpolarized capacitor, small symbol",C_Small,C606 C607,47nF,C_1210_3225Metric_Pad1.42x2.65mm_HandSolder,2,~
3,"Unpolarized capacitor, small symbol",C_Small,C201 C202 C205 C302 C303 C401 C402 C406 C407 C408 C409 C502 C503 C601 C605 C611 C612 C615 C616 C619 C620 C622 C623 C624 C625 C626 C627 C629,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28,
4,"Polarized capacitor, small US symbol",CP1_Small,C301 C304 C501 C504 C604 C628,1uF,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,6,
5,"Unpolarized capacitor, small symbol",C_Small,C613 C614 C617 C618,4.7u,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,4,~
6,"Polarized capacitor, small US symbol",CP1_Small,C603 C608 C609 C610,47uF,CP_Radial_D12.5mm_P5.00mm,4,~
7,"Polarized capacitor, small US symbol",CP1_Small,C602 C621,4700uF,CP_Radial_D12.5mm_P5.00mm,2,~
8,"100V 0.15A standard switching diode, MiniMELF",LL4148,D604 D605 D606,ES2A,D_MiniMELF_Handsoldering,3,http://www.vishay.com/docs/85557/ll4148.pdf
9,"Light emitting diode, small symbol",LED_Small,D402 D403 D607 D608,LED_RED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,
10,"100V 0.15A standard switching diode, MiniMELF",LL4148,D301 D401 D501 D601 D602 D603,LL4148,D_MiniMELF_Handsoldering,6,https://www.vishay.com/docs/85557/ll4148.pdf
11,"Bidirectional dual transient-voltage-suppression diode, center on pin 3",D_TVS_x2_AAC,D201,pesd1can,SOT-23_Handsoldering,1,https://assets.nexperia.com/documents/data-sheet/PESD1CAN.pdf
12,"Zener diode, small symbol",D_Zener_Small,DZ601 DZ602 DZ603 DZ604,12V,D_MiniMELF_Handsoldering,4,~
