Ref,Val,Package,PosX,PosY,Rot,Side
"C201","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","171.4000","-89.4650","270.0000","bottom"
"C202","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","188.9000","-114.2000","180.0000","bottom"
"C203","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","176.0240","-104.3760","180.0000","bottom"
"C204","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","178.1740","-100.5660","0.0000","bottom"
"C205","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","190.9000","-116.2000","180.0000","bottom"
"C301","1uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","208.6000","-61.7500","270.0000","bottom"
"C302","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","204.6000","-60.3000","270.0000","bottom"
"C303","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","208.6000","-68.3250","90.0000","bottom"
"C304","1uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","204.6000","-66.8500","90.0000","bottom"
"C401","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","161.4000","-105.7000","90.0000","bottom"
"C402","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","153.9000","-104.7000","90.0000","bottom"
"C403","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","164.9960","-98.3240","0.0000","bottom"
"C404","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","163.7260","-102.7690","180.0000","bottom"
"C406","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","159.1500","-123.7500","180.0000","bottom"
"C407","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","154.7890","-108.4040","180.0000","bottom"
"C408","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","154.7890","-110.7000","0.0000","bottom"
"C409","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","154.7890","-112.9500","0.0000","bottom"
"C501","1uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","175.1000","-61.7500","270.0000","bottom"
"C502","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","171.1000","-60.3000","270.0000","bottom"
"C503","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","175.1000","-68.2750","90.0000","bottom"
"C504","1uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","171.1000","-66.8000","90.0000","bottom"
"C601","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","110.4000","-84.4000","270.0000","bottom"
"C604","1uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","102.0750","-77.8250","180.0000","bottom"
"C605","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","100.0000","-82.5000","180.0000","bottom"
"C606","47nF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","122.0000","-73.0000","270.0000","top"
"C607","47nF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","122.0000","-91.5000","270.0000","top"
"C611","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","112.2000","-100.4500","90.0000","bottom"
"C612","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","137.8000","-119.9500","90.0000","bottom"
"C613","4.7u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","129.4400","-69.9100","0.0000","top"
"C614","4.7u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","129.4400","-67.0400","0.0000","top"
"C615","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","128.8900","-72.5100","0.0000","top"
"C616","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","128.8900","-74.8050","0.0000","top"
"C617","4.7u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","84.5000","-88.8700","0.0000","bottom"
"C618","4.7u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","84.5000","-86.0000","0.0000","bottom"
"C619","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","84.4700","-93.8000","0.0000","bottom"
"C620","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","84.4700","-91.5050","0.0000","bottom"
"C622","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","129.0000","-79.6000","0.0000","top"
"C623","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","129.0000","-77.2000","0.0000","top"
"C624","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","129.0000","-82.0000","0.0000","top"
"C625","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","129.0000","-84.4000","0.0000","top"
"C626","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","129.0000","-86.8000","0.0000","top"
"C627","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","129.0000","-89.2000","0.0000","top"
"C628","1uF","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","102.0000","-124.2000","0.0000","bottom"
"C629","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","99.4250","-120.6000","0.0000","bottom"
"D201","pesd1can","SOT-23_Handsoldering","197.8500","-87.3500","0.0000","bottom"
"D301","LL4148","D_MiniMELF_Handsoldering","216.1000","-59.3000","0.0000","bottom"
"D401","LL4148","D_MiniMELF_Handsoldering","162.9250","-126.4000","180.0000","bottom"
"D402","LED_RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","163.6000","-113.0000","180.0000","bottom"
"D403","LED_RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","163.9000","-88.4500","180.0000","bottom"
"D501","LL4148","D_MiniMELF_Handsoldering","216.1000","-56.8000","0.0000","bottom"
"D601","LL4148","D_MiniMELF_Handsoldering","106.9000","-80.9000","180.0000","bottom"
"D602","LL4148","D_MiniMELF_Handsoldering","105.0000","-89.5000","270.0000","top"
