Reference, Quantity, Value, Footprint, Datasheet
C201 C202 C205 C302 C303 C406 C402 C401 C408 C407 C409 C502 C503 C601 C612 C611 C605 C629 ,18,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
C203 C204 C403 C404 ,4,"22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
C301 C304 C501 C504 C604 C628 ,6,"1uF","Capacitor_Tantalum_SMD:CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder",""
C602 C621 ,2,"4700uF","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~"
C603 C608 C609 C610 ,4,"47uF","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~"
C606 C607 ,2,"47nF","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
C613 C614 C617 C618 ,4,"4.7u","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
C615 C616 C619 C620 C624 C625 C622 C623 C626 C627 ,10,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D201 ,1,"pesd1can","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://assets.nexperia.com/documents/data-sheet/PESD1CAN.pdf"
D301 D401 D501 D601 D603 D602 ,6,"LL4148","Diode_SMD:D_MiniMELF_Handsoldering","https://www.vishay.com/docs/85557/ll4148.pdf"
D403 D402 D607 D608 ,4,"LED_RED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
D604 D605 D606 ,3,"ES2A","Diode_SMD:D_MiniMELF_Handsoldering","http://www.vishay.com/docs/85557/ll4148.pdf"
DZ601 DZ602 DZ603 DZ604 ,4,"12V","Diode_SMD:D_MiniMELF_Handsoldering","~"
F501 ,1,"500mA","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
F601 ,1,"10A","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
F602 ,1,"15A","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
J401 ,1,"USART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J402 ,1,"DISABLE","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
J602 J601 ,2,"RJ45","KicadZeniteSolarLibrary18:RJ45_YH59_01",""
J611 ,1,"+BAT_IN","MountingHole:MountingHole_5.3mm_M5_Pad_Via","~"
J612 ,1,"-BAT_IN","MountingHole:MountingHole_5.3mm_M5_Pad_Via","~"
J613 ,1,"+BAT_OUT","MountingHole:MountingHole_5.3mm_M5_Pad_Via","~"
J614 ,1,"-BAT_OUT","MountingHole:MountingHole_5.3mm_M5_Pad_Via","~"
K601 ,1,"G5LE-1","KicadZeniteSolarLibrary18:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
L601 ,1,"300uH","KicadZeniteSolarLibrary18:Inductor_Nocoupled","~"
Q601 Q602 ,2,"IRFP260N","Package_TO_SOT_THT:TO-247-3_Horizontal_TabUp","~"
Q603 ,1,"BC857","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC856.pdf"
Q604 ,1,"BC847","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
R201 R402 R403 R611 ,4,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
R202 ,1,"4k7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
R203 R401 R410 R604 R605 ,5,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
R406 R404 R616 R618 ,4,"330","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R407 R408 R409 ,3,"680","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R411 ,1,"100","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
R601 ,1,"50k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
